,School,SOS,School_format
117,Idaho State Bengals,-2.61,idaho-state-bengals
118,Idaho Vandals,-1.02,idaho-vandals
119,Illinois Fighting Illini,7.6,illinois-fighting-illini
120,Illinois State Redbirds,1.8,illinois-state-redbirds
121,Illinois-Chicago Flames,-1.07,illinois-chicago-flames
122,Incarnate Word Cardinals,-6.77,incarnate-word-cardinals
123,Indiana Hoosiers,8.04,indiana-hoosiers
124,Indiana State Sycamores,1.9,indiana-state-sycamores
125,Iona Gaels,-3.52,iona-gaels
126,Iowa Hawkeyes,7.29,iowa-hawkeyes
127,Iowa State Cyclones,6.26,iowa-state-cyclones
128,IPFW Mastodons,-2.24,ipfw-mastodons
129,IUPUI Jaguars,-2.47,iupui-jaguars
130,Jackson State Tigers,-8.68,jackson-state-tigers
131,Jacksonville Dolphins,-1.96,jacksonville-dolphins
132,Jacksonville State Gamecocks,-6.44,jacksonville-state-gamecocks
133,James Madison Dukes,-2.21,james-madison-dukes
134,Kansas Jayhawks,6.99,kansas-jayhawks
135,Kansas State Wildcats,6.2,kansas-state-wildcats
136,Kennesaw State Owls,-3.68,kennesaw-state-owls
137,Kent State Golden Flashes,-0.34,kent-state-golden-flashes
138,Kentucky Wildcats,6.65,kentucky-wildcats
139,La Salle Explorers,0.61,la-salle-explorers
140,Lafayette Leopards,-6.95,lafayette-leopards
141,Lamar Cardinals,-3.89,lamar-cardinals
142,Lehigh Mountain Hawks,-7.59,lehigh-mountain-hawks
143,Liberty Flames,-7.04,liberty-flames
144,Lipscomb Bisons,-4.67,lipscomb-bisons
145,Long Beach State 49ers,1.27,long-beach-state-49ers
146,Long Island University Blackbirds,-6.37,long-island-university-blackbirds
147,Longwood Lancers,-5.13,longwood-lancers
148,Louisiana Ragin' Cajuns,-1.12,louisiana-ragin-cajuns
149,Louisiana State Fighting Tigers,4.33,louisiana-state-fighting-tigers
150,Louisiana Tech Bulldogs,-1.6,louisiana-tech-bulldogs
151,Louisiana-Monroe Warhawks,-4.43,louisiana-monroe-warhawks
152,Louisville Cardinals,6.41,louisville-cardinals
153,Loyola (IL) Ramblers,1.5,loyola-il-ramblers
154,Loyola (MD) Greyhounds,-4.69,loyola-md-greyhounds
155,Loyola Marymount Lions,0.32,loyola-marymount-lions
156,Maine Black Bears,-7.42,maine-black-bears
157,Manhattan Jaspers,-2.3,manhattan-jaspers
158,Marist Red Foxes,-5.48,marist-red-foxes
159,Marquette Golden Eagles,4.61,marquette-golden-eagles
160,Marshall Thundering Herd,-1.3,marshall-thundering-herd
161,Maryland Terrapins,5.15,maryland-terrapins
162,Maryland-Baltimore County Retrievers,-6.71,maryland-baltimore-county-retrievers
163,Maryland-Eastern Shore Hawks,-9.61,maryland-eastern-shore-hawks
164,Massachusetts Minutemen,-0.31,massachusetts-minutemen
165,Massachusetts-Lowell River Hawks,-5.47,massachusetts-lowell-river-hawks
166,McNeese State Cowboys,-4.68,mcneese-state-cowboys
167,Memphis Tigers,3.59,memphis-tigers
168,Mercer Bears,-5.53,mercer-bears
169,Miami (FL) Hurricanes,3.2,miami-fl-hurricanes
170,Miami (OH) RedHawks,0.95,miami-oh-redhawks
171,Michigan State Spartans,7.58,michigan-state-spartans
172,Michigan Wolverines,7.64,michigan-wolverines
173,Middle Tennessee Blue Raiders,-2.97,middle-tennessee-blue-raiders
174,Milwaukee Panthers,-1.31,milwaukee-panthers
175,Minnesota Golden Gophers,7.5,minnesota-golden-gophers
176,Mississippi Rebels,4.28,mississippi-rebels
177,Mississippi State Bulldogs,4.22,mississippi-state-bulldogs
178,Mississippi Valley State Delta Devils,-9.06,mississippi-valley-state-delta-devils
179,Missouri State Bears,1.31,missouri-state-bears
180,Missouri Tigers,6.02,missouri-tigers
181,Missouri-Kansas City Kangaroos,-3.27,missouri-kansas-city-kangaroos
182,Monmouth Hawks,-6.22,monmouth-hawks
183,Montana Grizzlies,-2.63,montana-grizzlies
184,Montana State Bobcats,-2.63,montana-state-bobcats
185,Morehead State Eagles,-3.5,morehead-state-eagles
186,Morgan State Bears,-8.98,morgan-state-bears
187,Mount St. Mary's Mountaineers,-6.42,mount-st-marys-mountaineers
188,Murray State Racers,-3.18,murray-state-racers
189,Navy Midshipmen,-4.0,navy-midshipmen
190,Nebraska Cornhuskers,6.01,nebraska-cornhuskers
191,Nebraska-Omaha Mavericks,-2.38,nebraska-omaha-mavericks
192,Nevada Wolf Pack,1.1,nevada-wolf-pack
193,Nevada-Las Vegas Rebels,3.26,nevada-las-vegas-rebels
194,New Hampshire Wildcats,-7.08,new-hampshire-wildcats
195,New Mexico Lobos,2.22,new-mexico-lobos
196,New Mexico State Aggies,-0.23,new-mexico-state-aggies
197,New Orleans Privateers,-2.05,new-orleans-privateers
198,Niagara Purple Eagles,-1.7,niagara-purple-eagles
199,Nicholls State Colonels,-5.92,nicholls-state-colonels
200,NJIT Highlanders,-6.77,njit-highlanders
201,Norfolk State Spartans,-8.67,norfolk-state-spartans
202,North Carolina A&T Aggies,-9.83,north-carolina-at-aggies
203,North Carolina Central Eagles,-9.15,north-carolina-central-eagles
204,North Carolina State Wolfpack,5.88,north-carolina-state-wolfpack
205,North Carolina Tar Heels,6.81,north-carolina-tar-heels
206,North Carolina-Asheville Bulldogs,-5.6,north-carolina-asheville-bulldogs
207,North Carolina-Greensboro Spartans,-4.5,north-carolina-greensboro-spartans
208,North Carolina-Wilmington Seahawks,-2.55,north-carolina-wilmington-seahawks
209,North Dakota State Bison,-2.9,north-dakota-state-bison
210,North Dakota UND,-4.77,north-dakota-und
211,North Florida Ospreys,-2.38,north-florida-ospreys
212,North Texas Mean Green,-0.37,north-texas-mean-green
213,Northeastern Huskies,-4.35,northeastern-huskies
214,Northern Arizona Lumberjacks,-2.96,northern-arizona-lumberjacks
215,Northern Colorado Bears,-4.08,northern-colorado-bears
216,Northern Illinois Huskies,-1.14,northern-illinois-huskies
217,Northern Iowa Panthers,1.6,northern-iowa-panthers
218,Northern Kentucky Norse,-3.76,northern-kentucky-norse
219,Northwestern State Demons,-5.6,northwestern-state-demons
220,Northwestern Wildcats,7.33,northwestern-wildcats
221,Notre Dame Fighting Irish,5.69,notre-dame-fighting-irish
222,Oakland Golden Grizzlies,-1.23,oakland-golden-grizzlies
