,school,sos,school-format,season
323,Valparaiso,-0.24,valparaiso,2014
324,Vanderbilt,6.49,vanderbilt,2014
325,Vermont,-4.57,vermont,2014
326,Villanova NCAA,7.50,villanova,2014
327,Virginia Commonwealth NCAA,4.78,virginia-commonwealth,2014
328,VMI,-6.33,virginia-military-institute,2014
329,Virginia Tech,5.99,virginia-tech,2014
330,Virginia NCAA,7.86,virginia,2014
331,Wagner,-6.73,wagner,2014
332,Wake Forest,6.73,wake-forest,2014
333,Washington State,7.24,washington-state,2014
334,Washington,6.45,washington,2014
335,Weber State NCAA,-4.23,weber-state,2014
336,West Virginia,8.02,west-virginia,2014
337,Western Carolina,-6.43,western-carolina,2014
338,Western Illinois,-2.74,western-illinois,2014
339,Western Kentucky,-1.34,western-kentucky,2014
340,Western Michigan NCAA,-1.45,western-michigan,2014
341,Wichita State NCAA,1.74,wichita-state,2014
342,William & Mary,-2.29,william-mary,2014
343,Winthrop,-6.56,winthrop,2014
344,Wisconsin NCAA,10.19,wisconsin,2014
345,Wofford NCAA,-5.95,wofford,2014
346,Wright State,-2.80,wright-state,2014
347,Wyoming,2.34,wyoming,2014
348,Xavier NCAA,8.14,xavier,2014
349,Yale,-1.28,yale,2014
350,Youngstown State,-1.26,youngstown-state,2014
