,school,sos,school-format,season
169,Massachusetts-Lowell,-4.32,massachusetts-lowell,2015
170,Massachusetts,4.69,massachusetts,2015
171,McNeese State,-5.42,mcneese-state,2015
172,Memphis,2.90,memphis,2015
173,Mercer,-4.10,mercer,2015
174,Miami (FL),7.05,miami-fl,2015
175,Miami (OH),0.31,miami-oh,2015
176,Michigan State NCAA,10.00,michigan-state,2015
177,Michigan,9.59,michigan,2015
178,Middle Tennessee,-0.39,middle-tennessee,2015
179,Milwaukee,0.15,milwaukee,2015
180,Minnesota,7.21,minnesota,2015
181,Mississippi State,4.72,mississippi-state,2015
182,Mississippi Valley State,-7.78,mississippi-valley-state,2015
183,Mississippi NCAA,7.01,mississippi,2015
184,Missouri-Kansas City,-5.07,missouri-kansas-city,2015
185,Missouri State,1.67,missouri-state,2015
186,Missouri,9.26,missouri,2015
187,Monmouth,-2.91,monmouth,2015
188,Montana State,-3.50,montana-state,2015
189,Montana,-3.78,montana,2015
190,Morehead State,-3.31,morehead-state,2015
191,Morgan State,-6.48,morgan-state,2015
192,Mount St. Mary's,-4.40,mount-st-marys,2015
193,Murray State,-2.81,murray-state,2015
194,Navy,-3.61,navy,2015
195,Nebraska-Omaha,-5.14,nebraska-omaha,2015
196,Nebraska,7.58,nebraska,2015
197,Nevada-Las Vegas,3.38,nevada-las-vegas,2015
198,Nevada,1.08,nevada,2015
199,New Hampshire,-6.29,new-hampshire,2015
200,New Mexico State NCAA,-3.67,new-mexico-state,2015
201,New Mexico,1.03,new-mexico,2015
202,New Orleans,-6.36,new-orleans,2015
203,Niagara,-1.80,niagara,2015
204,Nicholls State,-5.30,nicholls-state,2015
205,NJIT,-4.07,njit,2015
206,Norfolk State,-6.35,norfolk-state,2015
207,North Carolina-Asheville,-5.65,north-carolina-asheville,2015
208,North Carolina A&T,-8.02,north-carolina-at,2015
209,North Carolina Central,-8.67,north-carolina-central,2015
210,North Carolina-Greensboro,-4.36,north-carolina-greensboro,2015
211,North Carolina State NCAA,9.72,north-carolina-state,2015
212,North Carolina-Wilmington,-1.92,north-carolina-wilmington,2015
213,North Carolina NCAA,11.76,north-carolina,2015
214,North Dakota State NCAA,-3.63,north-dakota-state,2015
215,North Dakota,-3.73,north-dakota,2015
216,North Florida NCAA,-5.94,north-florida,2015
217,North Texas,-0.71,north-texas,2015
218,Northeastern NCAA,-1.34,northeastern,2015
219,Northern Arizona,-4.13,northern-arizona,2015
220,Northern Colorado,-6.21,northern-colorado,2015
221,Northern Illinois,-0.14,northern-illinois,2015
222,Northern Iowa NCAA,2.00,northern-iowa,2015
223,Northern Kentucky,-4.49,northern-kentucky,2015
224,Northwestern State,-4.52,northwestern-state,2015
225,Northwestern,7.20,northwestern,2015
226,Notre Dame NCAA,7.02,notre-dame,2015
227,Oakland,1.27,oakland,2015
228,Ohio State NCAA,7.37,ohio-state,2015
229,Ohio,0.45,ohio,2015
230,Oklahoma State NCAA,9.63,oklahoma-state,2015
231,Oklahoma NCAA,9.94,oklahoma,2015
232,Old Dominion,-0.15,old-dominion,2015
233,Oral Roberts,-1.99,oral-roberts,2015
234,Oregon State,4.97,oregon-state,2015
235,Oregon NCAA,7.65,oregon,2015
236,Pacific,3.31,pacific,2015
237,Penn State,7.10,penn-state,2015
238,Pennsylvania,-1.36,pennsylvania,2015
239,Pepperdine,2.80,pepperdine,2015
240,Pittsburgh,7.36,pittsburgh,2015
241,Portland State,-4.86,portland-state,2015
242,Portland,2.67,portland,2015
243,Prairie View,-8.20,prairie-view,2015
244,Presbyterian,-4.51,presbyterian,2015
245,Princeton,-2.92,princeton,2015
246,Providence NCAA,9.50,providence,2015
247,Purdue NCAA,7.64,purdue,2015
248,Quinnipiac,-3.66,quinnipiac,2015
249,Radford,-5.53,radford,2015
250,Rhode Island,2.87,rhode-island,2015
251,Rice,-0.79,rice,2015
252,Richmond,3.77,richmond,2015
253,Rider,-3.11,rider,2015
254,Robert Morris NCAA,-3.50,robert-morris,2015
255,Rutgers,8.11,rutgers,2015
256,Sacramento State,-5.45,sacramento-state,2015
257,Sacred Heart,-5.97,sacred-heart,2015
258,Saint Francis (PA),-4.97,saint-francis-pa,2015
259,Saint Joseph's,2.58,saint-josephs,2015
260,Saint Louis,2.43,saint-louis,2015
261,Saint Mary's (CA),3.78,saint-marys-ca,2015
262,Saint Peter's,-3.92,saint-peters,2015
263,Sam Houston State,-6.03,sam-houston-state,2015
264,Samford,-5.57,samford,2015
265,San Diego State NCAA,4.24,san-diego-state,2015
266,San Diego,3.47,san-diego,2015
267,San Francisco,2.83,san-francisco,2015
268,San Jose State,1.92,san-jose-state,2015
269,Santa Clara,4.12,santa-clara,2015
270,Savannah State,-6.27,savannah-state,2015
271,Seattle,-4.69,seattle,2015
272,Seton Hall,7.56,seton-hall,2015
273,Siena,-2.90,siena,2015
274,South Alabama,-3.04,south-alabama,2015
275,South Carolina State,-7.46,south-carolina-state,2015
276,South Carolina Upstate,-7.50,south-carolina-upstate,2015
277,South Carolina,8.24,south-carolina,2015
278,South Dakota State,-3.23,south-dakota-state,2015
279,South Dakota,-3.48,south-dakota,2015
280,South Florida,2.56,south-florida,2015
281,Southeast Missouri State,-3.73,southeast-missouri-state,2015
282,Southeastern Louisiana,-6.14,southeastern-louisiana,2015
283,Southern California,6.15,southern-california,2015
284,SIU Edwardsville,-4.54,southern-illinois-edwardsville,2015
285,Southern Illinois,-0.60,southern-illinois,2015
286,Southern Methodist NCAA,3.57,southern-methodist,2015
287,Southern Mississippi,-0.06,southern-mississippi,2015
288,Southern Utah,-5.48,southern-utah,2015
289,Southern,-8.23,southern,2015
290,St. Bonaventure,1.34,st-bonaventure,2015
291,St. Francis (NY),-6.20,st-francis-ny,2015
292,St. John's (NY) NCAA,9.04,st-johns-ny,2015
293,Stanford,7.33,stanford,2015
294,Stephen F. Austin NCAA,-4.20,stephen-f-austin,2015
295,Stetson,-6.68,stetson,2015
296,Stony Brook,-4.03,stony-brook,2015
297,Syracuse,7.68,syracuse,2015
298,Temple,3.52,temple,2015
299,Tennessee-Martin,-3.90,tennessee-martin,2015
300,Tennessee State,-2.38,tennessee-state,2015
301,Tennessee Tech,-3.99,tennessee-tech,2015
302,Tennessee,8.16,tennessee,2015
303,Texas A&M-Corpus Christi,-6.43,texas-am-corpus-christi,2015
304,Texas A&M,5.91,texas-am,2015
305,Texas-Arlington,-2.76,texas-arlington,2015
306,Texas Christian,5.32,texas-christian,2015
307,Texas-El Paso,-0.51,texas-el-paso,2015
308,Texas-Rio Grande Valley,-4.68,texas-pan-american,2015
309,Texas-San Antonio,-2.61,texas-san-antonio,2015
310,Texas Southern NCAA,-6.09,texas-southern,2015
311,Texas State,-3.36,texas-state,2015
312,Texas Tech,7.20,texas-tech,2015
313,Texas NCAA,9.07,texas,2015
314,Toledo,0.62,toledo,2015
315,Towson,-3.80,towson,2015
316,Troy,-5.09,troy,2015
317,Tulane,0.32,tulane,2015
318,Tulsa,2.81,tulsa,2015
319,UCLA NCAA,8.27,ucla,2015
320,Utah State,0.28,utah-state,2015
321,Utah Valley,-4.87,utah-valley,2015
322,Utah NCAA,7.42,utah,2015
323,Valparaiso NCAA,-2.00,valparaiso,2015
324,Vanderbilt,6.22,vanderbilt,2015
325,Vermont,-5.52,vermont,2015
326,Villanova NCAA,7.55,villanova,2015
327,Virginia Commonwealth NCAA,6.10,virginia-commonwealth,2015
328,VMI,-3.92,virginia-military-institute,2015
329,Virginia Tech,5.32,virginia-tech,2015
330,Virginia NCAA,7.81,virginia,2015
331,Wagner,-4.99,wagner,2015
332,Wake Forest,7.68,wake-forest,2015
333,Washington State,6.08,washington-state,2015
334,Washington,4.83,washington,2015
335,Weber State,-3.50,weber-state,2015
336,West Virginia NCAA,9.29,west-virginia,2015
337,Western Carolina,-3.56,western-carolina,2015
338,Western Illinois,-2.93,western-illinois,2015
339,Western Kentucky,-0.44,western-kentucky,2015
340,Western Michigan,0.19,western-michigan,2015
341,Wichita State NCAA,3.68,wichita-state,2015
342,William & Mary,-1.15,william-mary,2015
343,Winthrop,-7.38,winthrop,2015
344,Wisconsin NCAA,10.29,wisconsin,2015
345,Wofford NCAA,-2.98,wofford,2015
346,Wright State,-1.14,wright-state,2015
347,Wyoming NCAA,-0.04,wyoming,2015
348,Xavier NCAA,9.48,xavier,2015
349,Yale,-0.87,yale,2015
350,Youngstown State,-1.73,youngstown-state,2015
