,school,sos,school-format,season
0,Abilene Christian,-6.34,abilene-christian,2015
1,Air Force,-0.71,air-force,2015
2,Akron,-0.47,akron,2015
3,Alabama A&M,-9.62,alabama-am,2015
4,Alabama-Birmingham NCAA,1.62,alabama-birmingham,2015
5,Alabama State,-12.71,alabama-state,2015
6,Alabama,8.09,alabama,2015
7,Albany (NY) NCAA,-5.18,albany-ny,2015
8,Alcorn State,-9.95,alcorn-state,2015
9,American,-3.71,american,2015
10,Appalachian State,-3.18,appalachian-state,2015
11,Arizona State,6.66,arizona-state,2015
12,Arizona NCAA,7.41,arizona,2015
13,Arkansas-Little Rock,-3.81,arkansas-little-rock,2015
14,Arkansas-Pine Bluff,-8.61,arkansas-pine-bluff,2015
15,Arkansas State,-3.81,arkansas-state,2015
16,Arkansas NCAA,6.79,arkansas,2015
17,Army,-4.98,army,2015
18,Auburn,8.15,auburn,2015
19,Austin Peay,-2.81,austin-peay,2015
20,Ball State,0.04,ball-state,2015
21,Baylor NCAA,9.33,baylor,2015
22,Belmont NCAA,-2.77,belmont,2015
23,Bethune-Cookman,-10.45,bethune-cookman,2015
24,Binghamton,-3.49,binghamton,2015
25,Boise State NCAA,1.38,boise-state,2015
26,Boston College,7.94,boston-college,2015
27,Boston University,-3.12,boston-university,2015
28,Bowling Green State,-1.25,bowling-green-state,2015
29,Bradley,1.52,bradley,2015
30,Brigham Young NCAA,5.02,brigham-young,2015
31,Brown,-1.99,brown,2015
32,Bryant,-4.93,bryant,2015
33,Bucknell,-2.75,bucknell,2015
34,Buffalo NCAA,1.60,buffalo,2015
35,Butler NCAA,8.62,butler,2015
36,Cal Poly,0.43,cal-poly,2015
37,Cal State Bakersfield,-5.80,cal-state-bakersfield,2015
38,Cal State Fullerton,-1.06,cal-state-fullerton,2015
39,Cal State Northridge,0.39,cal-state-northridge,2015
40,UC-Davis,-2.58,california-davis,2015
41,UC-Irvine NCAA,0.45,california-irvine,2015
42,UC-Riverside,-1.16,california-riverside,2015
43,UC-Santa Barbara,0.98,california-santa-barbara,2015
44,University of California,6.15,california,2015
45,Campbell,-5.30,campbell,2015
46,Canisius,-2.79,canisius,2015
47,Central Arkansas,-5.94,central-arkansas,2015
48,Central Connecticut State,-5.62,central-connecticut-state,2015
49,Central Florida,0.78,central-florida,2015
50,Central Michigan,-1.10,central-michigan,2015
51,Charleston Southern,-5.23,charleston-southern,2015
52,Charlotte,0.35,charlotte,2015
53,Chattanooga,-4.06,chattanooga,2015
54,Chicago State,-2.48,chicago-state,2015
55,Cincinnati NCAA,4.40,cincinnati,2015
56,Citadel,-4.68,citadel,2015
57,Clemson,7.18,clemson,2015
58,Cleveland State,-0.78,cleveland-state,2015
59,Coastal Carolina NCAA,-6.18,coastal-carolina,2015
60,Colgate,-3.41,colgate,2015
61,College of Charleston,-1.26,college-of-charleston,2015
62,Colorado State,0.69,colorado-state,2015
63,Colorado,6.19,colorado,2015
64,Columbia,-1.49,columbia,2015
65,Connecticut,4.22,connecticut,2015
66,Coppin State,-4.78,coppin-state,2015
67,Cornell,-1.92,cornell,2015
68,Creighton,7.05,creighton,2015
69,Dartmouth,-3.32,dartmouth,2015
70,Davidson NCAA,3.19,davidson,2015
71,Dayton NCAA,4.06,dayton,2015
72,Delaware State,-6.75,delaware-state,2015
73,Delaware,-1.69,delaware,2015
74,Denver,-3.13,denver,2015
75,DePaul,7.49,depaul,2015
76,Detroit Mercy,0.13,detroit-mercy,2015
77,Drake,2.22,drake,2015
78,Drexel,-0.85,drexel,2015
79,Duke NCAA,9.87,duke,2015
80,Duquesne,1.41,duquesne,2015
81,East Carolina,1.00,east-carolina,2015
82,East Tennessee State,-4.01,east-tennessee-state,2015
83,Eastern Illinois,-2.42,eastern-illinois,2015
84,Eastern Kentucky,-4.16,eastern-kentucky,2015
85,Eastern Michigan,-0.14,eastern-michigan,2015
86,Eastern Washington NCAA,-3.84,eastern-washington,2015
87,Elon,-2.69,elon,2015
88,Evansville,-0.07,evansville,2015
89,Fairfield,-2.31,fairfield,2015
90,Fairleigh Dickinson,-4.54,fairleigh-dickinson,2015
91,Florida A&M,-8.52,florida-am,2015
92,Florida Atlantic,-2.06,florida-atlantic,2015
93,Florida Gulf Coast,-4.98,florida-gulf-coast,2015
94,Florida International,-3.23,florida-international,2015
95,Florida State,7.02,florida-state,2015
96,Florida,9.67,florida,2015
97,Fordham,2.72,fordham,2015
98,Fresno State,1.30,fresno-state,2015
99,Furman,-3.46,furman,2015
100,Gardner-Webb,-3.11,gardner-webb,2015
101,George Mason,4.60,george-mason,2015
102,George Washington,2.79,george-washington,2015
103,Georgetown NCAA,9.81,georgetown,2015
104,Georgia Southern,-4.72,georgia-southern,2015
105,Georgia State NCAA,-2.03,georgia-state,2015
106,Georgia Tech,8.45,georgia-tech,2015
107,Georgia NCAA,8.60,georgia,2015
108,Gonzaga NCAA,5.12,gonzaga,2015
109,Grambling,-8.00,grambling,2015
110,Grand Canyon,-5.45,grand-canyon,2015
111,Green Bay,-0.40,green-bay,2015
112,Hampton NCAA,-7.08,hampton,2015
113,Hartford,-5.16,hartford,2015
114,Harvard NCAA,-0.25,harvard,2015
115,Hawaii,-0.83,hawaii,2015
116,High Point,-4.61,high-point,2015
117,Hofstra,-4.46,hofstra,2015
118,Holy Cross,-3.82,holy-cross,2015
119,Houston Baptist,-5.63,houston-baptist,2015
120,Houston,-0.91,houston,2015
121,Howard,-7.86,howard,2015
122,Idaho State,-5.45,idaho-state,2015
123,Idaho,-4.79,idaho,2015
124,Illinois-Chicago,-0.36,illinois-chicago,2015
125,Illinois State,2.87,illinois-state,2015
126,Illinois,6.93,illinois,2015
127,Incarnate Word,-6.47,incarnate-word,2015
128,Indiana State,1.21,indiana-state,2015
129,Indiana NCAA,7.20,indiana,2015
130,Iona,-2.52,iona,2015
131,Iowa State NCAA,9.15,iowa-state,2015
132,Iowa NCAA,8.39,iowa,2015
133,IPFW,-3.41,ipfw,2015
134,IUPUI,-1.93,iupui,2015
135,Jackson State,-9.52,jackson-state,2015
136,Jacksonville State,-4.52,jacksonville-state,2015
137,Jacksonville,-6.46,jacksonville,2015
138,James Madison,-1.53,james-madison,2015
139,Kansas State,9.29,kansas-state,2015
140,Kansas NCAA,12.13,kansas,2015
141,Kennesaw State,-5.10,kennesaw-state,2015
142,Kent State,-0.94,kent-state,2015
143,Kentucky NCAA,8.67,kentucky,2015
144,La Salle,3.91,la-salle,2015
145,Lafayette NCAA,-3.12,lafayette,2015
146,Lamar,-5.29,lamar,2015
147,Lehigh,-3.55,lehigh,2015
148,Liberty,-6.44,liberty,2015
149,Lipscomb,-5.15,lipscomb,2015
150,Long Beach State,4.16,long-beach-state,2015
151,Long Island University,-5.32,long-island-university,2015
152,Longwood,-5.53,longwood,2015
153,Louisiana,-3.61,louisiana-lafayette,2015
154,Louisiana-Monroe,-2.88,louisiana-monroe,2015
155,Louisiana State NCAA,5.63,louisiana-state,2015
156,Louisiana Tech,-1.34,louisiana-tech,2015
157,Louisville NCAA,8.98,louisville,2015
158,Loyola (IL),0.46,loyola-il,2015
159,Loyola Marymount,5.28,loyola-marymount,2015
160,Loyola (MD),-3.38,loyola-md,2015
161,Maine,-3.40,maine,2015
162,Manhattan NCAA,-3.34,manhattan,2015
163,Marist,-2.93,marist,2015
164,Marquette,9.02,marquette,2015
165,Marshall,-0.22,marshall,2015
166,Maryland-Baltimore County,-5.14,maryland-baltimore-county,2015
167,Maryland-Eastern Shore,-6.94,maryland-eastern-shore,2015
168,Maryland NCAA,7.63,maryland,2015
