,school,sos,school-format,season
168,Memphis NCAA,2.70,memphis,2013
169,Mercer,-4.08,mercer,2013
170,Miami (FL) NCAA,7.88,miami-fl,2013
171,Miami (OH),-0.26,miami-oh,2013
172,Michigan State NCAA,10.55,michigan-state,2013
173,Michigan NCAA,10.05,michigan,2013
174,Middle Tennessee NCAA,-1.52,middle-tennessee,2013
175,Milwaukee,-0.26,milwaukee,2013
176,Minnesota NCAA,10.31,minnesota,2013
177,Mississippi State,4.34,mississippi-state,2013
178,Mississippi Valley State,-8.28,mississippi-valley-state,2013
179,Mississippi NCAA,4.14,mississippi,2013
180,Missouri-Kansas City,-2.74,missouri-kansas-city,2013
181,Missouri State,4.65,missouri-state,2013
182,Missouri NCAA,6.00,missouri,2013
183,Monmouth,-4.19,monmouth,2013
184,Montana State,-6.69,montana-state,2013
185,Montana NCAA,-4.21,montana,2013
186,Morehead State,-1.81,morehead-state,2013
187,Morgan State,-7.51,morgan-state,2013
188,Mount St. Mary's,-4.10,mount-st-marys,2013
189,Murray State,-2.89,murray-state,2013
190,Navy,-4.44,navy,2013
191,Omaha,-3.90,omaha,2013
192,Nebraska,9.59,nebraska,2013
193,Nevada-Las Vegas NCAA,5.71,nevada-las-vegas,2013
194,Nevada,5.35,nevada,2013
195,New Hampshire,-4.19,new-hampshire,2013
196,New Mexico State NCAA,0.70,new-mexico-state,2013
197,New Mexico NCAA,6.63,new-mexico,2013
198,New Orleans,-6.12,new-orleans,2013
199,Niagara,-1.15,niagara,2013
200,Nicholls State,-4.97,nicholls-state,2013
201,NJIT,-9.01,njit,2013
202,Norfolk State,-6.56,norfolk-state,2013
203,North Carolina-Asheville,-3.98,north-carolina-asheville,2013
204,North Carolina A&T NCAA,-6.30,north-carolina-at,2013
205,North Carolina Central,-7.05,north-carolina-central,2013
206,North Carolina-Greensboro,-5.31,north-carolina-greensboro,2013
207,North Carolina State NCAA,7.17,north-carolina-state,2013
208,North Carolina-Wilmington,-2.27,north-carolina-wilmington,2013
209,North Carolina NCAA,8.01,north-carolina,2013
210,North Dakota State,-4.01,north-dakota-state,2013
211,North Dakota,-5.34,north-dakota,2013
212,North Florida,-3.22,north-florida,2013
213,North Texas,-2.73,north-texas,2013
214,Northeastern,-1.93,northeastern,2013
215,Northern Arizona,-3.55,northern-arizona,2013
216,Northern Colorado,-5.19,northern-colorado,2013
217,Northern Illinois,-2.20,northern-illinois,2013
218,Northern Iowa,5.23,northern-iowa,2013
219,Northern Kentucky,-5.42,northern-kentucky,2013
220,Northwestern State NCAA,-3.77,northwestern-state,2013
221,Northwestern,8.30,northwestern,2013
222,Notre Dame NCAA,7.22,notre-dame,2013
223,Oakland,-1.61,oakland,2013
224,Ohio State NCAA,9.32,ohio-state,2013
225,Ohio,-1.06,ohio,2013
226,Oklahoma State NCAA,6.73,oklahoma-state,2013
227,Oklahoma NCAA,7.09,oklahoma,2013
228,Old Dominion,-1.55,old-dominion,2013
229,Oral Roberts,-3.00,oral-roberts,2013
230,Oregon State,4.29,oregon-state,2013
231,Oregon NCAA,5.77,oregon,2013
232,Pacific NCAA,1.05,pacific,2013
233,Penn State,9.46,penn-state,2013
234,Pennsylvania,-1.48,pennsylvania,2013
235,Pepperdine,1.06,pepperdine,2013
236,Pittsburgh NCAA,5.63,pittsburgh,2013
237,Portland State,-5.54,portland-state,2013
238,Portland,3.28,portland,2013
239,Prairie View,-10.10,prairie-view,2013
240,Presbyterian,-4.71,presbyterian,2013
241,Princeton,-1.65,princeton,2013
242,Providence,6.55,providence,2013
243,Purdue,7.87,purdue,2013
244,Quinnipiac,-4.91,quinnipiac,2013
245,Radford,-7.32,radford,2013
246,Rhode Island,4.95,rhode-island,2013
247,Rice,0.01,rice,2013
248,Richmond,3.43,richmond,2013
249,Rider,-1.66,rider,2013
250,Robert Morris,-4.90,robert-morris,2013
251,Rutgers,6.77,rutgers,2013
252,Sacramento State,-6.77,sacramento-state,2013
253,Sacred Heart,-3.69,sacred-heart,2013
254,Saint Francis (PA),-4.37,saint-francis-pa,2013
255,Saint Joseph's,4.03,saint-josephs,2013
256,Saint Louis NCAA,4.28,saint-louis,2013
257,Saint Mary's (CA) NCAA,3.31,saint-marys-ca,2013
258,Saint Peter's,-2.92,saint-peters,2013
259,Sam Houston State,-5.16,sam-houston-state,2013
260,Samford,-4.38,samford,2013
