,school,sos,school-format,season
0,Abilene Christian,-7.10,abilene-christian,2017
1,Air Force,1.00,air-force,2017
2,Akron,-1.21,akron,2017
3,Alabama A&M,-11.09,alabama-am,2017
4,Alabama-Birmingham,-1.83,alabama-birmingham,2017
5,Alabama State,-10.75,alabama-state,2017
6,Alabama,7.47,alabama,2017
7,Albany (NY),-4.69,albany-ny,2017
8,Alcorn State,-10.95,alcorn-state,2017
9,American,-3.50,american,2017
10,Appalachian State,-1.60,appalachian-state,2017
11,Arizona State,7.11,arizona-state,2017
12,Arizona NCAA,7.63,arizona,2017
13,Arkansas-Little Rock,-3.80,arkansas-little-rock,2017
14,Arkansas-Pine Bluff,-10.28,arkansas-pine-bluff,2017
15,Arkansas State,-2.10,arkansas-state,2017
16,Arkansas NCAA,8.60,arkansas,2017
17,Army,-4.10,army,2017
18,Auburn,7.33,auburn,2017
19,Austin Peay,-2.32,austin-peay,2017
20,Ball State,-3.57,ball-state,2017
21,Baylor NCAA,11.87,baylor,2017
22,Belmont,-1.69,belmont,2017
23,Bethune-Cookman,-11.21,bethune-cookman,2017
24,Binghamton,-5.79,binghamton,2017
25,Boise State,2.72,boise-state,2017
26,Boston College,8.08,boston-college,2017
27,Boston University,-3.66,boston-university,2017
28,Bowling Green State,-2.00,bowling-green-state,2017
29,Bradley,2.94,bradley,2017
30,Brigham Young,1.87,brigham-young,2017
31,Brown,-4.08,brown,2017
32,Bryant,-5.43,bryant,2017
33,Bucknell NCAA,-2.48,bucknell,2017
34,Buffalo,-1.01,buffalo,2017
35,Butler NCAA,10.23,butler,2017
36,Cal Poly,-4.22,cal-poly,2017
37,Cal State Bakersfield,-1.94,cal-state-bakersfield,2017
38,Cal State Fullerton,-6.85,cal-state-fullerton,2017
39,Cal State Northridge,-4.13,cal-state-northridge,2017
40,UC-Davis NCAA,-4.68,california-davis,2017
41,UC-Irvine,-2.70,california-irvine,2017
42,UC-Riverside,-3.87,california-riverside,2017
43,UC-Santa Barbara,-2.00,california-santa-barbara,2017
44,University of California,6.34,california,2017
45,Campbell,-7.59,campbell,2017
46,Canisius,-3.50,canisius,2017
47,Central Arkansas,-3.76,central-arkansas,2017
48,Central Connecticut State,-7.68,central-connecticut-state,2017
49,Central Florida,3.69,central-florida,2017
50,Central Michigan,-2.63,central-michigan,2017
51,Charleston Southern,-6.21,charleston-southern,2017
52,Charlotte,-0.93,charlotte,2017
53,Chattanooga,-2.08,chattanooga,2017
54,Chicago State,-0.19,chicago-state,2017
55,Cincinnati NCAA,5.49,cincinnati,2017
56,Citadel,-2.93,citadel,2017
57,Clemson,9.98,clemson,2017
58,Cleveland State,-1.53,cleveland-state,2017
59,Coastal Carolina,-1.48,coastal-carolina,2017
60,Colgate,-3.60,colgate,2017
61,College of Charleston,-0.19,college-of-charleston,2017
62,Colorado State,2.17,colorado-state,2017
63,Colorado,6.00,colorado,2017
64,Columbia,-3.13,columbia,2017
65,Connecticut,6.61,connecticut,2017
66,Coppin State,-8.01,coppin-state,2017
67,Cornell,-1.55,cornell,2017
68,Creighton NCAA,8.95,creighton,2017
69,Dartmouth,-3.45,dartmouth,2017
70,Davidson,4.26,davidson,2017
71,Dayton NCAA,4.27,dayton,2017
72,Delaware State,-9.37,delaware-state,2017
73,Delaware,-1.42,delaware,2017
74,Denver,-4.19,denver,2017
75,DePaul,7.78,depaul,2017
76,Detroit Mercy,-1.62,detroit-mercy,2017
77,Drake,1.91,drake,2017
78,Drexel,-2.56,drexel,2017
79,Duke NCAA,10.91,duke,2017
