,school,sos,school-format,season
80,Duquesne,0.69,duquesne,2017
81,East Carolina,1.33,east-carolina,2017
82,East Tennessee State NCAA,-2.11,east-tennessee-state,2017
83,Eastern Illinois,-5.05,eastern-illinois,2017
84,Eastern Kentucky,-2.44,eastern-kentucky,2017
85,Eastern Michigan,0.16,eastern-michigan,2017
86,Eastern Washington,-4.43,eastern-washington,2017
87,Elon,-1.39,elon,2017
88,Evansville,2.42,evansville,2017
89,Fairfield,-3.85,fairfield,2017
90,Fairleigh Dickinson,-5.31,fairleigh-dickinson,2017
91,Florida A&M,-11.85,florida-am,2017
92,Florida Atlantic,-1.98,florida-atlantic,2017
93,Florida Gulf Coast NCAA,-3.42,florida-gulf-coast,2017
94,Florida International,-3.27,florida-international,2017
95,Florida State NCAA,8.87,florida-state,2017
96,Florida NCAA,11.01,florida,2017
97,Fordham,1.36,fordham,2017
98,Fresno State,2.31,fresno-state,2017
99,Furman,-3.75,furman,2017
100,Gardner-Webb,-5.71,gardner-webb,2017
101,George Mason,1.28,george-mason,2017
102,George Washington,2.11,george-washington,2017
103,Georgetown,9.31,georgetown,2017
104,Georgia Southern,-2.83,georgia-southern,2017
105,Georgia State,-2.17,georgia-state,2017
106,Georgia Tech,8.21,georgia-tech,2017
107,Georgia,10.28,georgia,2017
108,Gonzaga NCAA,4.13,gonzaga,2017
109,Grambling,-11.89,grambling,2017
110,Grand Canyon,-4.22,grand-canyon,2017
111,Green Bay,-2.83,green-bay,2017
112,Hampton,-9.92,hampton,2017
113,Hartford,-5.56,hartford,2017
114,Harvard,-2.24,harvard,2017
115,Hawaii,-4.92,hawaii,2017
116,High Point,-6.28,high-point,2017
117,Hofstra,-1.90,hofstra,2017
118,Holy Cross,-3.51,holy-cross,2017
119,Houston Baptist,-4.44,houston-baptist,2017
120,Houston,3.42,houston,2017
121,Howard,-7.97,howard,2017
122,Idaho State,-3.37,idaho-state,2017
123,Idaho,-5.89,idaho,2017
124,Illinois-Chicago,-3.63,illinois-chicago,2017
125,Illinois State,2.71,illinois-state,2017
126,Illinois,9.25,illinois,2017
127,Incarnate Word,-5.62,incarnate-word,2017
128,Indiana State,3.18,indiana-state,2017
129,Indiana,8.16,indiana,2017
130,Iona NCAA,-2.47,iona,2017
131,Iowa State NCAA,11.94,iowa-state,2017
132,Iowa,7.54,iowa,2017
133,IPFW,-3.19,ipfw,2017
134,IUPUI,-1.62,iupui,2017
135,Jackson State,-11.55,jackson-state,2017
136,Jacksonville State NCAA,-3.24,jacksonville-state,2017
137,Jacksonville,-8.45,jacksonville,2017
138,James Madison,-1.83,james-madison,2017
139,Kansas State NCAA,10.48,kansas-state,2017
140,Kansas NCAA,12.23,kansas,2017
141,Kennesaw State,-5.97,kennesaw-state,2017
142,Kent State NCAA,-1.63,kent-state,2017
143,Kentucky NCAA,10.49,kentucky,2017
144,La Salle,2.94,la-salle,2017
145,Lafayette,-3.50,lafayette,2017
146,Lamar,-7.93,lamar,2017
147,Lehigh,-3.30,lehigh,2017
148,Liberty,-6.16,liberty,2017
149,Lipscomb,-4.45,lipscomb,2017
150,Long Beach State,-0.60,long-beach-state,2017
151,Long Island University,-8.51,long-island-university,2017
152,Longwood,-6.16,longwood,2017
153,Louisiana,-3.28,louisiana-lafayette,2017
154,Louisiana-Monroe,-2.56,louisiana-monroe,2017
155,Louisiana State,8.69,louisiana-state,2017
156,Louisiana Tech,-4.35,louisiana-tech,2017
157,Louisville NCAA,11.15,louisville,2017
158,Loyola (IL),1.02,loyola-il,2017
159,Loyola Marymount,1.60,loyola-marymount,2017
160,Loyola (MD),-3.60,loyola-md,2017
161,Maine,-4.01,maine,2017
162,Manhattan,-2.61,manhattan,2017
163,Marist,-2.74,marist,2017
164,Marquette NCAA,8.60,marquette,2017
165,Marshall,-1.05,marshall,2017
166,Maryland-Baltimore County,-5.87,maryland-baltimore-county,2017
167,Maryland-Eastern Shore,-7.61,maryland-eastern-shore,2017
168,Maryland NCAA,8.29,maryland,2017
169,Massachusetts-Lowell,-6.40,massachusetts-lowell,2017
170,Massachusetts,1.66,massachusetts,2017
171,McNeese State,-4.12,mcneese-state,2017
172,Memphis,3.19,memphis,2017
173,Mercer,-0.92,mercer,2017
174,Miami (FL) NCAA,9.57,miami-fl,2017
175,Miami (OH),-2.10,miami-oh,2017
176,Michigan State NCAA,10.50,michigan-state,2017
177,Michigan NCAA,10.17,michigan,2017
178,Middle Tennessee NCAA,-0.48,middle-tennessee,2017
179,Milwaukee,-2.17,milwaukee,2017
180,Minnesota NCAA,8.82,minnesota,2017
181,Mississippi State,5.90,mississippi-state,2017
182,Mississippi Valley State,-7.11,mississippi-valley-state,2017
183,Mississippi,7.99,mississippi,2017
184,Missouri-Kansas City,-1.06,missouri-kansas-city,2017
185,Missouri State,1.18,missouri-state,2017
186,Missouri,6.73,missouri,2017
187,Monmouth,-2.62,monmouth,2017
188,Montana State,-5.88,montana-state,2017
189,Montana,-4.02,montana,2017
190,Morehead State,-1.85,morehead-state,2017
191,Morgan State,-11.20,morgan-state,2017
192,Mount St. Mary's NCAA,-3.51,mount-st-marys,2017
193,Murray State,-4.41,murray-state,2017
194,Navy,-3.92,navy,2017
195,Nebraska-Omaha,-1.11,nebraska-omaha,2017
196,Nebraska,10.74,nebraska,2017
197,Nevada-Las Vegas,2.59,nevada-las-vegas,2017
198,Nevada NCAA,2.03,nevada,2017
199,New Hampshire,-4.46,new-hampshire,2017
200,New Mexico State NCAA,-3.82,new-mexico-state,2017
201,New Mexico,2.07,new-mexico,2017
202,New Orleans NCAA,-5.34,new-orleans,2017
203,Niagara,-4.37,niagara,2017
204,Nicholls State,-5.23,nicholls-state,2017
205,NJIT,-4.22,njit,2017
206,Norfolk State,-8.57,norfolk-state,2017
207,North Carolina-Asheville,-5.61,north-carolina-asheville,2017
208,North Carolina A&T,-9.61,north-carolina-at,2017
209,North Carolina Central NCAA,-12.12,north-carolina-central,2017
210,North Carolina-Greensboro,-2.63,north-carolina-greensboro,2017
211,North Carolina State,8.09,north-carolina-state,2017
212,North Carolina-Wilmington NCAA,-0.55,north-carolina-wilmington,2017
213,North Carolina NCAA,11.76,north-carolina,2017
214,North Dakota State,-2.63,north-dakota-state,2017
215,North Dakota NCAA,-5.45,north-dakota,2017
216,North Florida,-1.65,north-florida,2017
217,North Texas,-3.32,north-texas,2017
218,Northeastern,-0.91,northeastern,2017
219,Northern Arizona,-5.95,northern-arizona,2017
220,Northern Colorado,-4.20,northern-colorado,2017
221,Northern Illinois,-2.05,northern-illinois,2017
222,Northern Iowa,5.22,northern-iowa,2017
223,Northern Kentucky NCAA,-2.84,northern-kentucky,2017
224,Northwestern State,-6.07,northwestern-state,2017
225,Northwestern NCAA,8.43,northwestern,2017
226,Notre Dame NCAA,9.78,notre-dame,2017
227,Oakland,-3.00,oakland,2017
228,Ohio State,7.28,ohio-state,2017
229,Ohio,-2.56,ohio,2017
230,Oklahoma State NCAA,12.22,oklahoma-state,2017
231,Oklahoma,12.62,oklahoma,2017
232,Old Dominion,-1.35,old-dominion,2017
233,Oral Roberts,1.24,oral-roberts,2017
234,Oregon State,5.89,oregon-state,2017
235,Oregon NCAA,8.38,oregon,2017
236,Pacific,2.09,pacific,2017
237,Penn State,8.90,penn-state,2017
238,Pennsylvania,-1.50,pennsylvania,2017
239,Pepperdine,1.87,pepperdine,2017
240,Pittsburgh,11.06,pittsburgh,2017
241,Portland State,-6.63,portland-state,2017
242,Portland,2.32,portland,2017
243,Prairie View,-8.48,prairie-view,2017
244,Presbyterian,-5.95,presbyterian,2017
245,Princeton NCAA,-1.84,princeton,2017
246,Providence NCAA,7.84,providence,2017
247,Purdue NCAA,8.79,purdue,2017
248,Quinnipiac,-3.22,quinnipiac,2017
249,Radford,-4.58,radford,2017
250,Rhode Island NCAA,4.62,rhode-island,2017
251,Rice,-4.16,rice,2017
252,Richmond,3.28,richmond,2017
253,Rider,-5.28,rider,2017
254,Robert Morris,-5.13,robert-morris,2017
255,Rutgers,6.22,rutgers,2017
256,Sacramento State,-5.58,sacramento-state,2017
257,Sacred Heart,-7.52,sacred-heart,2017
258,Saint Francis (PA),-7.65,saint-francis-pa,2017
259,Saint Joseph's,3.69,saint-josephs,2017
260,Saint Louis,1.85,saint-louis,2017
261,Saint Mary's (CA) NCAA,2.19,saint-marys-ca,2017
262,Saint Peter's,-3.60,saint-peters,2017
263,Sam Houston State,-6.35,sam-houston-state,2017
264,Samford,-3.70,samford,2017
265,San Diego State,1.47,san-diego-state,2017
266,San Diego,0.92,san-diego,2017
267,San Francisco,0.42,san-francisco,2017
268,San Jose State,1.74,san-jose-state,2017
269,Santa Clara,2.03,santa-clara,2017
270,Savannah State,-8.44,savannah-state,2017
271,Seattle,-3.95,seattle,2017
272,Seton Hall NCAA,9.25,seton-hall,2017
273,Siena,-2.23,siena,2017
274,South Alabama,-2.90,south-alabama,2017
275,South Carolina State,-6.61,south-carolina-state,2017
276,South Carolina Upstate,-5.23,south-carolina-upstate,2017
277,South Carolina NCAA,10.16,south-carolina,2017
278,South Dakota State NCAA,-0.66,south-dakota-state,2017
279,South Dakota,-2.08,south-dakota,2017
280,South Florida,2.39,south-florida,2017
281,Southeast Missouri State,-4.28,southeast-missouri-state,2017
282,Southeastern Louisiana,-8.13,southeastern-louisiana,2017
283,Southern California NCAA,6.40,southern-california,2017
284,SIU Edwardsville,-3.29,southern-illinois-edwardsville,2017
285,Southern Illinois,2.65,southern-illinois,2017
286,Southern Methodist NCAA,4.45,southern-methodist,2017
287,Southern Mississippi,-2.78,southern-mississippi,2017
288,Southern Utah,-5.39,southern-utah,2017
289,Southern,-11.68,southern,2017
290,St. Bonaventure,1.48,st-bonaventure,2017
291,St. Francis (NY),-6.54,st-francis-ny,2017
292,St. John's (NY),8.39,st-johns-ny,2017
293,Stanford,8.59,stanford,2017
294,Stephen F. Austin,-5.75,stephen-f-austin,2017
295,Stetson,-5.45,stetson,2017
296,Stony Brook,-5.05,stony-brook,2017
297,Syracuse,8.47,syracuse,2017
298,Temple,5.09,temple,2017
299,Tennessee-Martin,-4.34,tennessee-martin,2017
300,Tennessee State,-2.96,tennessee-state,2017
301,Tennessee Tech,-4.17,tennessee-tech,2017
302,Tennessee,10.18,tennessee,2017
303,Texas A&M-Corpus Christi,-5.79,texas-am-corpus-christi,2017
304,Texas A&M,7.97,texas-am,2017
305,Texas-Arlington,-0.87,texas-arlington,2017
306,Texas Christian,10.95,texas-christian,2017
307,Texas-El Paso,-2.51,texas-el-paso,2017
308,Texas-Rio Grande Valley,-3.68,texas-pan-american,2017
309,Texas-San Antonio,-3.03,texas-san-antonio,2017
310,Texas Southern NCAA,-7.81,texas-southern,2017
311,Texas State,-4.29,texas-state,2017
312,Texas Tech,7.86,texas-tech,2017
313,Texas,12.75,texas,2017
314,Toledo,-0.90,toledo,2017
315,Towson,-1.28,towson,2017
316,Troy NCAA,-3.36,troy,2017
317,Tulane,4.25,tulane,2017
318,Tulsa,5.29,tulsa,2017
319,UCLA NCAA,6.39,ucla,2017
320,Utah State,2.46,utah-state,2017
321,Utah Valley,-2.44,utah-valley,2017
322,Utah,4.32,utah,2017
323,Valparaiso,-1.59,valparaiso,2017
324,Vanderbilt NCAA,10.72,vanderbilt,2017
325,Vermont NCAA,-3.27,vermont,2017
326,Villanova NCAA,9.28,villanova,2017
327,Virginia Commonwealth NCAA,3.77,virginia-commonwealth,2017
328,VMI,-1.80,virginia-military-institute,2017
329,Virginia Tech NCAA,8.38,virginia-tech,2017
330,Virginia NCAA,10.93,virginia,2017
331,Wagner,-7.89,wagner,2017
332,Wake Forest NCAA,9.80,wake-forest,2017
333,Washington State,6.87,washington-state,2017
334,Washington,6.82,washington,2017
335,Weber State,-5.13,weber-state,2017
336,West Virginia NCAA,9.67,west-virginia,2017
337,Western Carolina,-0.70,western-carolina,2017
338,Western Illinois,-2.38,western-illinois,2017
339,Western Kentucky,-2.89,western-kentucky,2017
340,Western Michigan,-0.55,western-michigan,2017
341,Wichita State NCAA,2.96,wichita-state,2017
342,William & Mary,-0.73,william-mary,2017
343,Winthrop NCAA,-6.12,winthrop,2017
344,Wisconsin NCAA,9.40,wisconsin,2017
345,Wofford,-1.08,wofford,2017
346,Wright State,-2.42,wright-state,2017
347,Wyoming,0.55,wyoming,2017
348,Xavier NCAA,11.51,xavier,2017
349,Yale,-2.19,yale,2017
350,Youngstown State,-2.56,youngstown-state,2017
