,school,sos,school-format,season
192,Mount St. Mary's,-7.99,mount-st-marys,2016
193,Murray State,-3.06,murray-state,2016
194,Navy,-7.05,navy,2016
195,Nebraska-Omaha,-2.04,nebraska-omaha,2016
196,Nebraska,5.57,nebraska,2016
197,Nevada-Las Vegas,3.17,nevada-las-vegas,2016
198,Nevada,1.79,nevada,2016
199,New Hampshire,-7.05,new-hampshire,2016
200,New Mexico State,-3.54,new-mexico-state,2016
201,New Mexico,2.58,new-mexico,2016
202,New Orleans,-8.17,new-orleans,2016
203,Niagara,-3.86,niagara,2016
204,Nicholls State,-5.23,nicholls-state,2016
205,NJIT,-4.56,njit,2016
206,Norfolk State,-6.73,norfolk-state,2016
207,North Carolina-Asheville NCAA,-3.25,north-carolina-asheville,2016
208,North Carolina A&T,-8.49,north-carolina-at,2016
209,North Carolina Central,-10.03,north-carolina-central,2016
210,North Carolina-Greensboro,-3.23,north-carolina-greensboro,2016
211,North Carolina State,9.04,north-carolina-state,2016
212,North Carolina-Wilmington NCAA,0.35,north-carolina-wilmington,2016
213,North Carolina NCAA,10.69,north-carolina,2016
214,North Dakota State,-2.99,north-dakota-state,2016
215,North Dakota,-4.91,north-dakota,2016
216,North Florida,-3.92,north-florida,2016
217,North Texas,-3.23,north-texas,2016
218,Northeastern,1.35,northeastern,2016
219,Northern Arizona,-2.83,northern-arizona,2016
220,Northern Colorado,-4.01,northern-colorado,2016
221,Northern Illinois,-1.20,northern-illinois,2016
222,Northern Iowa NCAA,4.44,northern-iowa,2016
223,Northern Kentucky,-0.69,northern-kentucky,2016
224,Northwestern State,-5.66,northwestern-state,2016
225,Northwestern,4.12,northwestern,2016
226,Notre Dame NCAA,9.57,notre-dame,2016
227,Oakland,-1.61,oakland,2016
228,Ohio State,7.08,ohio-state,2016
229,Ohio,-1.18,ohio,2016
230,Oklahoma State,8.81,oklahoma-state,2016
231,Oklahoma NCAA,11.14,oklahoma,2016
232,Old Dominion,-2.31,old-dominion,2016
233,Oral Roberts,0.59,oral-roberts,2016
234,Oregon State NCAA,9.26,oregon-state,2016
235,Oregon NCAA,8.64,oregon,2016
236,Pacific,2.35,pacific,2016
237,Penn State,6.95,penn-state,2016
238,Pennsylvania,-2.15,pennsylvania,2016
239,Pepperdine,1.68,pepperdine,2016
240,Pittsburgh NCAA,8.75,pittsburgh,2016
241,Portland State,-5.94,portland-state,2016
242,Portland,0.56,portland,2016
243,Prairie View,-6.82,prairie-view,2016
244,Presbyterian,-4.98,presbyterian,2016
245,Princeton,-1.72,princeton,2016
246,Providence NCAA,8.46,providence,2016
247,Purdue NCAA,7.46,purdue,2016
248,Quinnipiac,-4.98,quinnipiac,2016
249,Radford,-3.45,radford,2016
250,Rhode Island,3.29,rhode-island,2016
251,Rice,-2.70,rice,2016
252,Richmond,4.56,richmond,2016
253,Rider,-3.60,rider,2016
254,Robert Morris,-7.75,robert-morris,2016
255,Rutgers,6.43,rutgers,2016
256,Sacramento State,-5.32,sacramento-state,2016
257,Sacred Heart,-9.05,sacred-heart,2016
258,Saint Francis (PA),-9.06,saint-francis-pa,2016
259,Saint Joseph's NCAA,4.93,saint-josephs,2016
260,Saint Louis,3.49,saint-louis,2016
261,Saint Mary's (CA),1.24,saint-marys-ca,2016
262,Saint Peter's,-4.30,saint-peters,2016
263,Sam Houston State,-6.50,sam-houston-state,2016
264,Samford,-4.49,samford,2016
265,San Diego State,4.33,san-diego-state,2016
266,San Diego,1.42,san-diego,2016
267,San Francisco,-0.68,san-francisco,2016
268,San Jose State,1.35,san-jose-state,2016
269,Santa Clara,1.86,santa-clara,2016
270,Savannah State,-8.59,savannah-state,2016
271,Seattle,-5.02,seattle,2016
272,Seton Hall NCAA,8.28,seton-hall,2016
273,Siena,-3.19,siena,2016
274,South Alabama,-2.02,south-alabama,2016
275,South Carolina State,-8.24,south-carolina-state,2016
276,South Carolina Upstate,-4.39,south-carolina-upstate,2016
277,South Carolina,5.83,south-carolina,2016
278,South Dakota State NCAA,-1.22,south-dakota-state,2016
279,South Dakota,-0.88,south-dakota,2016
280,South Florida,5.24,south-florida,2016
281,Southeast Missouri State,-3.43,southeast-missouri-state,2016
282,Southeastern Louisiana,-7.55,southeastern-louisiana,2016
283,Southern California NCAA,7.64,southern-california,2016
284,SIU Edwardsville,-2.60,southern-illinois-edwardsville,2016
285,Southern Illinois,-1.30,southern-illinois,2016
286,Southern Methodist,4.56,southern-methodist,2016
287,Southern Mississippi,-3.66,southern-mississippi,2016
288,Southern Utah,-4.22,southern-utah,2016
289,Southern NCAA,-9.37,southern,2016
290,St. Bonaventure,1.87,st-bonaventure,2016
291,St. Francis (NY),-9.24,st-francis-ny,2016
292,St. John's (NY),7.94,st-johns-ny,2016
293,Stanford,10.41,stanford,2016
294,Stephen F. Austin NCAA,-5.47,stephen-f-austin,2016
295,Stetson,-4.35,stetson,2016
296,Stony Brook NCAA,-5.28,stony-brook,2016
297,Syracuse NCAA,9.75,syracuse,2016
298,Temple NCAA,6.57,temple,2016
299,Tennessee-Martin,-4.72,tennessee-martin,2016
300,Tennessee State,-5.30,tennessee-state,2016
301,Tennessee Tech,-3.66,tennessee-tech,2016
302,Tennessee,7.86,tennessee,2016
303,Texas A&M-Corpus Christi,-5.44,texas-am-corpus-christi,2016
304,Texas A&M NCAA,8.45,texas-am,2016
305,Texas-Arlington,-3.42,texas-arlington,2016
306,Texas Christian,8.62,texas-christian,2016
307,Texas-El Paso,-4.93,texas-el-paso,2016
308,Texas-Rio Grande Valley,-4.25,texas-pan-american,2016
309,Texas-San Antonio,-3.36,texas-san-antonio,2016
310,Texas Southern,-6.94,texas-southern,2016
311,Texas State,-4.29,texas-state,2016
312,Texas Tech NCAA,10.25,texas-tech,2016
313,Texas NCAA,11.71,texas,2016
314,Toledo,-2.36,toledo,2016
315,Towson,-1.57,towson,2016
316,Troy,-2.07,troy,2016
317,Tulane,3.79,tulane,2016
318,Tulsa NCAA,5.76,tulsa,2016
319,UCLA,9.69,ucla,2016
320,Utah State,2.06,utah-state,2016
321,Utah Valley,-3.58,utah-valley,2016
322,Utah NCAA,8.79,utah,2016
323,Valparaiso,0.02,valparaiso,2016
324,Vanderbilt NCAA,8.68,vanderbilt,2016
325,Vermont,-4.73,vermont,2016
326,Villanova NCAA,9.71,villanova,2016
327,Virginia Commonwealth NCAA,4.35,virginia-commonwealth,2016
328,VMI,-3.15,virginia-military-institute,2016
329,Virginia Tech,7.53,virginia-tech,2016
330,Virginia NCAA,11.12,virginia,2016
331,Wagner,-9.52,wagner,2016
332,Wake Forest,10.53,wake-forest,2016
333,Washington State,7.97,washington-state,2016
334,Washington,8.12,washington,2016
335,Weber State NCAA,-5.13,weber-state,2016
336,West Virginia NCAA,9.78,west-virginia,2016
337,Western Carolina,-1.53,western-carolina,2016
338,Western Illinois,-1.32,western-illinois,2016
339,Western Kentucky,-0.89,western-kentucky,2016
340,Western Michigan,0.06,western-michigan,2016
341,Wichita State NCAA,4.24,wichita-state,2016
342,William & Mary,1.30,william-mary,2016
343,Winthrop,-5.70,winthrop,2016
344,Wisconsin NCAA,9.40,wisconsin,2016
345,Wofford,-2.35,wofford,2016
346,Wright State,-1.76,wright-state,2016
347,Wyoming,2.19,wyoming,2016
348,Xavier NCAA,8.43,xavier,2016
349,Yale NCAA,-1.03,yale,2016
350,Youngstown State,-0.86,youngstown-state,2016
