,Team,Season,C0,C1,C2,F0,F1,F2,G0,G1,G2,G3
0,abilene-christian,2014,0.0,0.0,0.0,0.09306772908366534,0.1456573705179283,0.1603187250996016,0.1752988047808765,0.0,0.10231075697211156,0.32334661354581673
1,abilene-christian,2015,0.0,0.0,0.0,0.08483870967741935,0.14548387096774193,0.11112903225806452,0.16661290322580646,0.0,0.10774193548387097,0.3841935483870968
2,abilene-christian,2016,0.0,0.0,0.0,0.0,0.132,0.26272,0.3616,0.0,0.0968,0.14688
3,abilene-christian,2017,0.09542372881355932,0.0,0.0,0.0,0.07,0.0764406779661017,0.2774576271186441,0.0,0.3405084745762712,0.14016949152542374
4,abilene-christian,2018,0.11069767441860465,0.0,0.01627906976744186,0.0,0.046511627906976744,0.05054263565891473,0.3234108527131783,0.0,0.4513178294573643,0.00124031007751938
5,air-force,2014,0.0,0.039345346338237726,0.008596462225161184,0.24681765581087783,0.19556951562241692,0.11869730533972557,0.012564060175235576,0.0,0.00529013060009919,0.373119523888246
6,air-force,2015,0.0008032128514056225,0.002891566265060241,0.04160642570281124,0.040642570281124495,0.18586345381526104,0.24867469879518073,0.16208835341365463,0.0,0.0036947791164658635,0.31373493975903616
7,air-force,2016,0.05629903091832026,0.0013844023996308261,0.088447931087525,0.08398707891093678,0.06952776495923704,0.17105060759883095,0.22350407629595448,0.0,0.09460083064143977,0.2111982771881249
8,air-force,2017,0.12417615338526064,0.0,0.0,0.014679448771719592,0.2428100659077292,0.07834032354703416,0.26857399640503293,0.0,0.1189334931096465,0.152486518873577
9,air-force,2018,0.0687873405457775,0.0,0.0,0.0,0.2268690456967544,0.12384950750847731,0.27837881479089294,0.0,0.09769094138543517,0.20442435007266269
10,akron,2014,0.0,0.06022694210066919,0.08655804480651731,0.0,0.35176025603724176,0.2561827174861798,0.07855688100087285,0.0,0.0,0.16671515856851907
11,akron,2015,0.0,0.0,0.19308480364257258,0.0,0.32484348321001705,0.042686397268070574,0.20916334661354583,0.0,0.012663631189527604,0.21755833807626637
12,akron,2016,0.0,0.0,0.18818505338078292,0.0014234875444839859,0.36526690391459077,0.0,0.13124555160142348,0.0,0.08156583629893238,0.23231316725978648
13,akron,2017,0.0,0.020274961810859603,0.1494236911540064,0.0,0.1865018747396195,0.02707957228162755,0.13692542702402444,0.0008332176086654631,0.14678516872656575,0.3321760866546313
14,akron,2018,0.0,0.05983182406209573,0.0,0.03783958602846054,0.17852522639068563,0.047865459249676584,0.0,0.0,0.24013583441138422,0.43580206985769726
15,alabama,2014,0.0,0.05637065637065637,0.0,0.08370656370656371,0.11227799227799228,0.07737451737451738,0.001698841698841699,0.0,0.502084942084942,0.16648648648648648
16,alabama,2015,0.0,0.0,0.0,0.11684901531728666,0.09263311451495258,0.09948942377826404,0.08956965718453684,0.0,0.20306345733041575,0.3983953318745441
17,alabama,2016,0.0,0.0,0.0,0.2518796992481203,0.10345864661654135,0.0,0.15714285714285714,0.0,0.18015037593984962,0.30736842105263157
18,alabama,2017,0.0,0.0,0.0,0.07685614849187936,0.03552784222737819,0.3326566125290023,0.13544083526682135,0.0,0.01943155452436195,0.4000870069605568
19,alabama,2018,0.0,0.0,0.0,0.061099171016272644,0.05756831439975438,0.19296898986797667,0.1631869818851704,0.0,0.21614983113294442,0.3090267116978815
20,alabama-am,2014,0.0,0.0,0.0671604938271605,0.07308641975308643,0.1580246913580247,0.0,0.2663374485596708,0.0,0.27111111111111114,0.1642798353909465
21,alabama-am,2015,0.0,0.03656652360515021,0.0,0.14952789699570815,0.0,0.14660944206008583,0.14746781115879828,0.0,0.22317596566523606,0.2966523605150215
22,alabama-am,2016,0.0,0.0,0.05531914893617021,0.07387234042553191,0.0,0.1494468085106383,0.23370212765957446,0.0,0.2752340425531915,0.2124255319148936
23,alabama-am,2017,0.0,0.0,0.14519148936170212,0.22825531914893618,0.0,0.11727659574468086,0.1548936170212766,0.0,0.13259574468085106,0.22178723404255318
24,alabama-am,2018,0.0,0.0,0.0,0.0,0.19709737827715357,0.2495318352059925,0.04845505617977528,0.0,0.18820224719101122,0.3167134831460674
25,alabama-birmingham,2014,0.0,0.0,0.12221159974506055,0.061663479923518165,0.13591459528362013,0.2676864244741874,0.17447418738049714,0.0,0.22625876354365837,0.011790949649458253
26,alabama-birmingham,2015,0.0,0.0,0.0,0.028513513513513514,0.0,0.3741891891891892,0.22054054054054054,0.0,0.21932432432432433,0.15743243243243243
27,alabama-birmingham,2016,0.0,0.0,0.0,0.0,0.007014925373134328,0.38865671641791044,0.20522388059701493,0.0,0.15671641791044777,0.24238805970149255
28,alabama-birmingham,2017,0.0,0.0,0.0,0.0118796992481203,0.0,0.34075187969924814,0.11789473684210526,0.0,0.2461654135338346,0.28330827067669173
29,alabama-birmingham,2018,0.0,0.0,0.0,0.05789473684210526,0.0,0.35293233082706765,0.3348872180451128,0.0,0.11533834586466166,0.13894736842105262
30,alabama-state,2014,0.0,0.0,0.0007701786814540973,0.1272335181762169,0.1353974121996303,0.1920825631546519,0.17159581022797288,0.0,0.12276648182378312,0.2501540357362908
31,alabama-state,2015,0.0,0.0068669527896995704,0.11244635193133047,0.0928755364806867,0.0,0.25339055793991416,0.16909871244635194,0.0,0.029356223175965666,0.3359656652360515
32,alabama-state,2016,0.0,0.012855102364704015,0.0,0.047135375337248056,0.0,0.2399619108078083,0.09474686557689256,0.0,0.43754959530233295,0.16775115061101412
