,school,sos,school-format,season
319,UCLA NCAA,6.86,ucla,2018
320,Utah State,2.65,utah-state,2018
321,Utah Valley,-1.76,utah-valley,2018
322,Utah,6.40,utah,2018
323,Valparaiso,0.93,valparaiso,2018
324,Vanderbilt,10.14,vanderbilt,2018
325,Vermont,-3.17,vermont,2018
326,Villanova NCAA,10.24,villanova,2018
327,Virginia Commonwealth,2.42,virginia-commonwealth,2018
328,VMI,-4.25,virginia-military-institute,2018
329,Virginia Tech NCAA,6.72,virginia-tech,2018
330,Virginia NCAA,9.07,virginia,2018
331,Wagner,-6.90,wagner,2018
332,Wake Forest,8.79,wake-forest,2018
333,Washington State,5.22,washington-state,2018
334,Washington,6.06,washington,2018
335,Weber State,-2.88,weber-state,2018
336,West Virginia NCAA,9.36,west-virginia,2018
337,Western Carolina,-1.63,western-carolina,2018
338,Western Illinois,-2.28,western-illinois,2018
339,Western Kentucky,3.65,western-kentucky,2018
340,Western Michigan,-1.99,western-michigan,2018
341,Wichita State NCAA,5.46,wichita-state,2018
342,William & Mary,-1.32,william-mary,2018
343,Winthrop,-5.84,winthrop,2018
344,Wisconsin,9.50,wisconsin,2018
345,Wofford,-2.45,wofford,2018
346,Wright State NCAA,-3.64,wright-state,2018
347,Wyoming,3.54,wyoming,2018
348,Xavier NCAA,9.45,xavier,2018
349,Yale,-2.83,yale,2018
350,Youngstown State,-2.56,youngstown-state,2018
