School,School_format,SOS
Morgan-State,morgan-state,-8.98
Mount-St.-Mary's,mount-st-marys,-6.42
Murray-State,murray-state,-3.18
Navy,navy,-4
Nebraska,nebraska,6.01
Nebraska-Omaha,nebraska-omaha,-2.38
Nevada,nevada,1.1
Nevada-Las-Vegas,nevada-las-vegas,3.26
New-Hampshire,new-hampshire,-7.08
New-Mexico,new-mexico,2.22
New-Mexico-State,new-mexico-state,-0.23
New-Orleans,new-orleans,-2.05
Niagara,niagara,-1.7
Nicholls-State,nicholls-state,-5.92
NJIT,njit,-6.77
Norfolk-State,norfolk-state,-8.67
North-Carolina-A&T,north-carolina-at,-9.83
North-Carolina-Central,north-carolina-central,-9.15
North-Carolina-State,north-carolina-state,5.88
UNC,north-carolina,6.81
North-Carolina-Asheville,north-carolina-asheville,-5.6
North-Carolina-Greensboro,north-carolina-greensboro,-4.5
North-Carolina-Wilmington,north-carolina-wilmington,-2.55
North-Dakota-State,north-dakota-state,-2.9
North-Dakota,north-dakota,-4.77
North-Florida,north-florida,-2.38
North-Texas,north-texas,-0.37
Northeastern,northeastern,-4.35
Northern-Arizona,northern-arizona,-2.96
Northern-Colorado,northern-colorado,-4.08
Northern-Illinois,northern-illinois,-1.14
Northern-Iowa,northern-iowa,1.6
Northern-Kentucky,northern-kentucky,-3.76
Northwestern-State,northwestern-state,-5.6
Northwestern,northwestern,7.33
Notre-Dame,notre-dame,5.69
Oakland,oakland,-1.23
Ohio,ohio,-0.22
Ohio-State,ohio-state,7.31
Oklahoma,oklahoma,6.32
Oklahoma-State,oklahoma-state,5.62
Old-Dominion,old-dominion,-0.06
Oral-Roberts,oral-roberts,-1.01
Oregon,oregon,5.75
Oregon-State,oregon-state,5.54
Pacific,pacific,-0.17
Penn-State,penn-state,1.84
Pennsylvania,pennsylvania,-3.08
Pepperdine,pepperdine,0.04
Pitt,pittsburgh,4.07
Portland,portland,0.66
Portland-State,portland-state,-2.83
Prairie-View,prairie-view,-8.15
Presbyterian,presbyterian,-5.07
Princeton,princeton,-3.64
Providence,providence,4.24
Purdue,purdue,7.53
Quinnipiac,quinnipiac,-6.67
Radford,radford,-7.25
Rhode-Island,rhode-island,-0.76
Rice,rice,0.83
Richmond,richmond,-1.56
Rider,rider,-6.06
Robert-Morris,robert-morris,-6.77
Rutgers,rutgers,0.37
Sacramento-State,sacramento-state,-2.93
Sacred-Heart,sacred-heart,-6.91
Saint-Francis-(PA),saint-francis-pa,-4.41
Saint-Joseph's,saint-josephs,1.8
Saint-Louis,saint-louis,4.01
Saint-Mary's-(CA),saint-marys-ca,0.17
Saint-Peter's,saint-peters,-3.93
Sam-Houston-State,sam-houston-state,-5.34
Samford,samford,-5.46
San-Diego-State,san-diego-state,3.34
San-Diego,san-diego,0.41
San-Francisco,san-francisco,0.59
San-Jose-State,san-jose-state,0.76
Santa-Clara,santa-clara,0.56
Savannah-State,savannah-state,-5.11
Seattle,seattle,-1.08
Seton-Hall,seton-hall,3.42
Siena,siena,-3.36
South-Alabama,south-alabama,-1.61
South-Carolina,south-carolina,3.31
South-Carolina-State,south-carolina-state,-10.6
South-Carolina-Upstate,south-carolina-upstate,-4.15
South-Dakota,south-dakota,-3.25
South-Dakota-State,south-dakota-state,-2.33
South-Florida,south-florida,3.04
Southeast-Missouri-State,southeast-missouri-state,-4.74
Southeastern-Louisiana,southeastern-louisiana,-6.35
USC,southern-california,6.21
Southern-Illinois,southern-illinois,2.19
Southern-Illinois-Edwardsville,southern-illinois-edwardsville,-4.09
Southern,southern,-10.08
SMU,southern-methodist,1.77
Southern-Miss,southern-mississippi,1.86
Southern-Utah,southern-utah,-3.61
St.-Bonaventure,st-bonaventure,1.53
St.-Francis-(NY),st-francis-ny,-5.56
St.-John's-(NY),st-johns-ny,4.98
Stanford,stanford,6.1
Stephen-F.-Austin,stephen-f-austin,-6.69
Stetson,stetson,-4.52
Stony-Brook,stony-brook,-5.43
Syracuse,syracuse,3.76
Temple,temple,2.51
Tennessee-State,tennessee-state,-4.69
Tennessee-Tech,tennessee-tech,-3.64
Tennessee,tennessee,5.07
Tennessee-Martin,tennessee-martin,-4.16
Texas-A&M,texas-am,2.34
Texas-A&M-Corpus-Christi,texas-am-corpus-christi,-4.53
Texas-Christian,texas-christian,1.74
Texas,texas,3.46
Texas-Southern,texas-southern,-8.5
Texas-State,texas-state,-5.71
Texas-Tech,texas-tech,2.4
Texas-Arlington,texas-arlington,-4.71
UTEP,texas-el-paso,0.77
Texas-Rio-Grande-Valley,texas-pan-american,-3.15
UTSA,texas-san-antonio,-4.74
Toledo,toledo,-0.26
Towson,towson,-4.37
Troy,troy,-5.33
Tulane,tulane,1.13
Tulsa,tulsa,3.19
UC-Davis,california-davis,-2.58
UC-Irvine,california-irvine,0.36
UC-Riverside,california-riverside,-1.85
UCSB,california-santa-barbara,0.18
UCLA,ucla,6.9
University-of-California,california,6.03
Utah-State,utah-state,0.88
Utah,utah,3.55
Utah-Valley,utah-valley,-5.48
Valparaiso,valparaiso,-1.63
